python_rate,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,792.7752042187984,763.554499056142,697.4271176294523,620.6123664980327,540.169087228237,477.17211272475794,415.9847043905532,343.0201697453819,267.6375816993464,204.56281407035175,144.55316042597045,79.48985481896099,27.618181818181817
10%+,540.0673076923077,548.5079365079365,490.1654411764706,457.3255813953488,351.8802588996764,337.1622516556291,276.6804979253112,233.97619047619048,169.45283018867926,113.03448275862068,93.05223880597015,56.6260162601626,19.08888888888889
20%+,569.5825688073395,570.6368715083798,527.8712871287129,426.0844155844156,369.4354066985646,354.7973568281938,297.6258064516129,231.84251968503938,213.38983050847457,137.75694444444446,101.62962962962963,63.26470588235294,17.926829268292682
30%+,531.7204301075269,551.1601423487544,496.6319018404908,464.26119402985074,375.4719101123595,343.4864864864865,309.6521739130435,231.01626016260164,208.9537037037037,139.7674418604651,93.36559139784946,68.38775510204081,21.95744680851064
40%+,537.0184049079754,524.6859504132232,461.4761904761905,457.3467741935484,376.8855421686747,312.88666666666666,284.390243902439,254.1290322580645,197.89,143.54716981132074,79.4375,52.87323943661972,20.35
50%+,595.0,625.1216216216217,554.3266666666667,502.1865671641791,410.58895705521473,356.47926267281105,339.36,272.608,219.87022900763358,166.875,108.57446808510639,64.79646017699115,27.102040816326532
60%+,600.0099502487562,574.0957446808511,525.4429530201343,505.0762711864407,389.67630057803467,329.42,317.8970588235294,251.08928571428572,212.07874015748033,164.74193548387098,111.84782608695652,56.54761904761905,26.11764705882353
70%+,603.2010309278351,592.3301587301587,548.7666666666667,437.2608695652174,401.22727272727275,369.2215568862275,341.20661157024796,254.8131868131868,217.87962962962962,143.55555555555554,96.97115384615384,55.51162790697674,20.363636363636363
80%+,650.1400778210117,613.3097560975609,597.6170212765958,469.85,409.51452282157675,388.4763779527559,294.0184049079755,270.40495867768595,220.21764705882353,152.24074074074073,101.28205128205128,60.481818181818184,17.102040816326532
90%+,901.9914346895075,858.5706822372465,786.3937632135306,715.9776785714286,623.467476149176,542.7263339070568,476.49638688160087,379.5262563523433,321.23318385650225,228.9031290184312,155.84568835098335,89.04311073541842,25.64234161988773
