main_lang,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,641.2777777777778,558.0625,,303.5,305.7142857142857,282.2,191.6,123.0,30.0
C#,386.0689655172414,441.8333333333333,394.3333333333333,343.75,271.72727272727275,273.5,175.2,66.42857142857143,28.5
C++,382.55793025871765,484.6830835117773,458.98275862068965,314.9171270718232,256.04,216.76958525345623,158.16140350877194,93.56862745098039,29.133928571428573
Java,389.94,437.4583333333333,370.25,380.5,252.75,256.5,134.125,87.875,21.5
PHP,444.4,628.0,572.0,,289.6666666666667,249.55555555555554,178.8181818181818,,
PyPy,375.6525821596244,442.8659793814433,343.93333333333334,187.48214285714286,211.88297872340425,182.75806451612902,155.69620253164558,87.95180722891567,28.26829268292683
Python,542.7697841726618,580.7535211267606,496.94117647058823,403.8285714285714,291.60759493670884,235.7922077922078,170.33644859813083,105.49659863945578,27.379310344827587
Ruby,465.46666666666664,528.875,489.5,,276.6,260.5,137.71428571428572,83.66666666666667,
Rust,327.87068965517244,375.13513513513516,409.5,274.7142857142857,186.0,207.0,139.89473684210526,68.1,23.444444444444443
Text,423.8333333333333,664.375,449.5,382.5,190.25,257.8888888888889,179.5,85.4,31.6
misc,409.75,499.3333333333333,523.3333333333334,181.42857142857142,286.9,238.44444444444446,177.23076923076923,69.16666666666667,25.833333333333332
