python_rate,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,335.08249027237355,168.95481927710844,116.56375838926175,163.92156862745097,115.74891774891775,60.52715654952077,38.83168316831683,22.26027397260274,2.9885057471264367
10%+,459.81081081081084,347.1333333333333,419.25,414.0,222.35294117647058,215.22222222222223,101.75,60.875,14.5
20%+,469.38461538461536,393.35714285714283,545.0,334.5,176.0,173.54545454545453,104.18181818181819,48.4,0.0
30%+,381.76,353.1818181818182,,165.2,265.3333333333333,114.125,106.16666666666667,45.53846153846154,
40%+,353.75,444.42857142857144,,239.5,197.85714285714286,215.33333333333334,119.81818181818181,34.666666666666664,
50%+,338.73333333333335,355.1818181818182,74.0,434.0,197.66666666666666,100.5,79.81818181818181,25.833333333333332,3.5
60%+,342.6666666666667,106.0,273.5,98.0,184.0,163.66666666666666,80.9090909090909,33.0,1.3333333333333333
70%+,297.9,282.6666666666667,,160.0,83.66666666666667,196.5,60.833333333333336,27.125,
80%+,371.0,239.75,546.0,220.8,33.5,129.0,98.25,,5.5
90%+,86.66666666666667,27.0,0.0,3.68,49.784615384615385,24.901639344262296,16.2,4.542635658914729,1.625
